Códigos de Modelos de Transformadores,,,
RS ISOLSEC,,,
Código,Modelo,Tipo,Tecnología
"TP-180-2
U12G3
U12G4
U12G5
U12G8
U17G3
U17G4
U17G5
U17G8
U24G3
U24G4
U24G5
U24G8
U36G4
U36G5
U36G8
U52G8
U7G3
U7G4
U7G5
U7G8","TP-180
U12G3
U12G4
U12G5
U12G8
U17G3
U17G4
U17G5
U17G8
U24G3
U24G4
U24G5
U24G8
U36G4
U36G5
U36G8
U52G8
U7G3
U7G4
U7G5
U7G8","Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión","Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo"
SACI,,,
Código,Modelo,Tipo,Tecnología
"ISAC1
ISAC2
ISAC3
ISAC4
ISAC5
ISAC6","Fs / M
FS/mcj
FS/ML5
KN
TU-3R
TUT3bc","Intensidad
Intensidad
Intensidad
Intensidad
Intensidad
Intensidad","Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo"
SADTEM,,,
Código,Modelo,Tipo,Tecnología
"TSAD
ISAD","OCF52-4
YE9A","Tensión
Intensidad","Inductivo
Inductivo"
,,,
27 agosto 2025 17 de 20,,,
