Códigos de Modelos de Transformadores,,,
SIEYUAN ELECTRIC,,,
Código,Modelo,Tipo,Tecnología
"TT00015
TT00016
TT00017
TT00014
TI00004
TI00005
TI00006
TI00003","JDCF-145
JDCF-245
JDCF-420
JDCF-72,5
LVB-145W3
LVB-245
LVB-420W3
LVB-66W3","Tensión
Tensión
Tensión
Tensión
Intensidad
Intensidad
Intensidad
Intensidad","Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo"
SPRECHER+SCHUH,,,
Código,Modelo,Tipo,Tecnología
"ISPS01
TSPS01","BWI-212
UGB-145","Intensidad
Tensión","Inductivo
Inductivo"
STE,,,
Código,Modelo,Tipo,Tecnología
ISTE01,TCO/80-E,Intensidad,Inductivo
TABESA,,,
Código,Modelo,Tipo,Tecnología
ITAB1,IBM,Intensidad,Inductivo
TRENCH,,,
Código,Modelo,Tipo,Tecnología
"TTRE06
TRE02
TTTRE04
TTTRE03
TTRE05
TRE01","AMT 145
IOSK
SU 72,5/S92T
SU245
SUD 72,5/S92T
VEOT 245","Intensidad
Intensidad
Tensión
Tensión
Tensión
Tensión","Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo"
TRUBTAUBER,,,
Código,Modelo,Tipo,Tecnología
ITRU1,JLS4,Intensidad,Inductivo
,,,
27 agosto 2025 19 de 20,,,
