Códigos de Modelos de Transformadores,,,
BROWN BOVERI,,,
Código,Modelo,Tipo,Tecnología
"IBBC8
IBBC9
IBBC10
TBBC2
IBBC2
TBBC3
TBBC4
IBBC3
IBBC4
IBBC5
IBBC7
IBBC6
TBBC5
IBBC1
TBBC1","06T24q1
ASQ0.6
CQGSS24S2
Gua10
GUC-12
GVC12
GVC20
NBTT20P3
NBTTT10n3
NRB
NST30h24
Q610-QZ
TMDC42/2
TMRG150
TMZF","Intensidad
Intensidad
Intensidad
Tensión
Intensidad
Tensión
Tensión
Intensidad
Intensidad
Intensidad
Intensidad
Intensidad
Tensión
Intensidad
Tensión","Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Capacitivo"
BTH,,,
Código,Modelo,Tipo,Tecnología
IBTH1,K/019,Intensidad,Inductivo
CDC,,,
Código,Modelo,Tipo,Tecnología
"CDC04
CDC03
CDC01
CDC02","E24.C
E24DH
J24AM
J24AN","Tensión
Tensión
Intensidad
Intensidad","Inductivo
Inductivo
Inductivo
Inductivo"
CIRCUTOR,,,
Código,Modelo,Tipo,Tecnología
"TICIR01
TRCM210
TRCM400","JVSS5
TRMC210
TRMC400","Intensidad
Intensidad
Intensidad","Inductivo
Inductivo
Inductivo"
,,,
27 agosto 2025 8 de 20,,,
