Códigos de Modelos de Transformadores,,,
LAB. ELECTROT. S.A.,,,
Código,Modelo,Tipo,Tecnología
"ILBE3
ILBE2
ILBE1
ILBE6
ILBE4
ILBE9
ILBE10
ILBE8
ILBE5
ILBE12
ILBE7
ILBE11
TLBE6
TLBE5
TLBE3
TLBE4
TLBE1
TLBE2","AEB-12
AEB-24
AEB-36
AEC-24
AEC-36
AED-24
AED-36
AER-24
AER-36
AFP-52
AKBF-06
AKWF-36
VFP-52
VKEF-36
VKPE-12
VKPE-24
VKPE-36
WS-420-N","Intensidad
Intensidad
Intensidad
Intensidad
Intensidad
Intensidad
Intensidad
Intensidad
Intensidad
Intensidad
Intensidad
Intensidad
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión","Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Capacitivo"
MGC,,,
Código,Modelo,Tipo,Tecnología
TMGC1,UXE-145P,Tensión,Capacitivo
MIMAVEN,,,
Código,Modelo,Tipo,Tecnología
TMIM1,T38/3007,Tensión,Inductivo
PFIFFNER,,,
Código,Modelo,Tipo,Tecnología
"IPFI1
IPFI02
IPFI03
VPFI01
IPFI06
IPFI04
IPFI05","AKA640/880
AKA680/880
AKQ17,4
EGK-145-3/F35-41
ELK CN3
JKQ 870 C
JR 0,5","Intensidad
Intensidad
Intensidad
Tensión
Intensidad
Intensidad
Intensidad","Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo"
,,,
27 agosto 2025 12 de 20,,,
