bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry,index_right,source,id,name
ES39-220,220,f,Substation,f,ES39,-2.937821300000005,43.22861608923024,ES,POINT (-2.937821300000005 43.22861608923024),5.0,https://simplemaps.com,ESBI,Bizkaia
ES40-400,400,f,Substation,f,ES40,-7.012919600000001,43.22491218922713,ES,POINT (-7.012919600000001 43.22491218922713),43.0,https://simplemaps.com,ESO,Asturias
ES41-220,220,f,Substation,f,ES41,-3.104039900000011,43.20334638920911,ES,POINT (-3.104039900000011 43.20334638920911),5.0,https://simplemaps.com,ESBI,Bizkaia
ES43-220,220,f,Substation,f,ES43,-3.074030595309216,43.18969179174616,ES,POINT (-3.0740305953092157 43.18969179174616),5.0,https://simplemaps.com,ESBI,Bizkaia
ES44-220,220,f,Substation,f,ES44,-8.348886099999989,43.18472468919356,ES,POINT (-8.348886099999989 43.18472468919356),28.0,https://simplemaps.com,ESC,La Coruña
ES46-220,220,f,Substation,f,ES46,-2.575451999999997,43.161967689174446,ES,POINT (-2.575451999999997 43.161967689174446),5.0,https://simplemaps.com,ESBI,Bizkaia
ES47-220,220,f,Substation,f,ES47,-2.452511099999997,43.153584689167474,ES,POINT (-2.452511099999997 43.153584689167474),3.0,https://simplemaps.com,ESSS,Gipuzkoa
ES48-220,220,f,Substation,f,ES48,-8.368826299999984,43.14694978916192,ES,POINT (-8.368826299999984 43.146949789161916),28.0,https://simplemaps.com,ESC,La Coruña
ES49-220,220,f,Substation,f,ES49,-3.1089815483975607,43.133901052953256,ES,POINT (-3.1089815483975607 43.133901052953256),8.0,https://simplemaps.com,ESVI,Álava
ES5-400,400,f,Substation,f,ES5,-2.875082400750115,43.43379553955904,ES,POINT (-2.875082400750115 43.43379553955904),5.0,https://simplemaps.com,ESBI,Bizkaia
ES50-220,220,f,Substation,f,ES50,-3.832317799999997,43.12857608914648,ES,POINT (-3.832317799999997 43.12857608914648),44.0,https://simplemaps.com,ESS,Cantabria
ES51-220,220,f,Substation,f,ES51,-4.048838700000002,43.12185208914083,ES,POINT (-4.048838700000002 43.12185208914083),44.0,https://simplemaps.com,ESS,Cantabria
ES52-220,220,f,Substation,f,ES52,-2.38801819999999,43.09981948912232,ES,POINT (-2.38801819999999 43.09981948912232),3.0,https://simplemaps.com,ESSS,Gipuzkoa
ES53-220,220,f,Substation,f,ES53,-4.000630099999998,43.09596198911907,ES,POINT (-4.000630099999998 43.09596198911907),44.0,https://simplemaps.com,ESS,Cantabria
ES54-400,400,f,Substation,f,ES54,-5.217475899999989,43.09215498911586,ES,POINT (-5.217475899999989 43.09215498911586),30.0,https://simplemaps.com,ESLE,León
ES55-220,220,f,Substation,f,ES55,-2.253001199999992,43.01755008905301,ES,POINT (-2.253001199999992 43.01755008905301),3.0,https://simplemaps.com,ESSS,Gipuzkoa
ES56-220,220,f,Substation,f,ES56,-2.2916271999999984,42.96592068900935,ES,POINT (-2.2916271999999984 42.96592068900935),3.0,https://simplemaps.com,ESSS,Gipuzkoa
ES57-220,220,f,Substation,f,ES57,-9.1183779,42.93296948898143,ES,POINT (-9.118377899999999 42.93296948898143),28.0,https://simplemaps.com,ESC,La Coruña
ES58-220,220,f,Substation,f,ES58,-2.340785800000007,42.91820518896893,ES,POINT (-2.340785800000007 42.91820518896893),8.0,https://simplemaps.com,ESVI,Álava
ES59-220,220,f,Substation,f,ES59,-8.553272999999994,42.89365138894805,ES,POINT (-8.553272999999994 42.89365138894805),28.0,https://simplemaps.com,ESC,La Coruña
ES6-220,220,f,Substation,f,ES6,-5.473967699999989,43.37946938935568,ES,POINT (-5.473967699999989 43.379469389355684),43.0,https://simplemaps.com,ESO,Asturias
ES60-220,220,f,Substation,f,ES60,-8.598327499999987,42.89020228894509,ES,POINT (-8.598327499999987 42.89020228894509),28.0,https://simplemaps.com,ESC,La Coruña
ES62-220,220,f,Substation,f,ES62,-8.636616099999994,42.88007288893655,ES,POINT (-8.636616099999994 42.880072888936546),28.0,https://simplemaps.com,ESC,La Coruña
ES63-220,220,f,Substation,f,ES63,-3.637525299999992,42.85249608891299,ES,POINT (-3.6375252999999916 42.85249608891299),10.0,https://simplemaps.com,ESBU,Burgos
ES64-220,220,f,Substation,f,ES64,-8.35861059999999,42.84978828891071,ES,POINT (-8.35861059999999 42.84978828891071),28.0,https://simplemaps.com,ESC,La Coruña
ES65-220,220,f,Substation,f,ES65,-6.484945629520428,42.83575373362393,ES,POINT (-6.4849456295204275 42.83575373362393),30.0,https://simplemaps.com,ESLE,León
ES66-400,400,f,Substation,f,ES66,-4.860075300000002,42.83232718889592,ES,POINT (-4.860075300000002 42.83232718889592),45.0,https://simplemaps.com,ESP,Palencia
ES67-220,220,f,Substation,f,ES67,-8.24064738587369,42.82741374364231,ES,POINT (-8.24064738587369 42.82741374364231),27.0,https://simplemaps.com,ESPO,Pontevedra
ES68-400,400,f,Substation,f,ES68,-5.636520799999992,42.80956388887648,ES,POINT (-5.6365207999999924 42.809563888876475),30.0,https://simplemaps.com,ESLE,León
ES69-220,220,f,Substation,f,ES69,-1.682332299999996,42.77846368884989,ES,POINT (-1.682332299999996 42.77846368884989),2.0,https://simplemaps.com,ESNA,Navarra
ES7-220,220,f,Substation,f,ES7,-5.456234999999994,43.37693068935356,ES,POINT (-5.456234999999994 43.37693068935356),43.0,https://simplemaps.com,ESO,Asturias
ES70-220,220,f,Substation,f,ES70,-3.609769299999997,42.73121958880949,ES,POINT (-3.6097692999999973 42.73121958880949),10.0,https://simplemaps.com,ESBU,Burgos
ES71-220,220,f,Substation,f,ES71,-3.487970434162778,42.66723689509914,ES,POINT (-3.487970434162778 42.66723689509914),10.0,https://simplemaps.com,ESBU,Burgos
ES72-220,220,f,Substation,f,ES72,-1.2658912000000035,42.62863158872136,ES,POINT (-1.2658912000000035 42.62863158872136),2.0,https://simplemaps.com,ESNA,Navarra
ES73-400,400,f,Substation,f,ES73,-6.544273799999997,42.62507538871834,ES,POINT (-6.544273799999997 42.62507538871834),30.0,https://simplemaps.com,ESLE,León
ES74-220,220,f,Substation,f,ES74,-7.743535899999986,42.613950088708734,ES,POINT (-7.743535899999986 42.613950088708734),29.0,https://simplemaps.com,ESLU,Lugo
ES75-220,220,f,Substation,f,ES75,-2.8263903999999984,42.61131018870647,ES,POINT (-2.8263903999999984 42.61131018870647),7.0,https://simplemaps.com,ESLO,La Rioja
ES77-400,400,f,Substation,f,ES77,-6.607586713104383,42.595353084827856,ES,POINT (-6.607586713104383 42.595353084827856),30.0,https://simplemaps.com,ESLE,León
ES78-400,400,f,Substation,f,ES78,-6.585077599999995,42.59328738869093,ES,POINT (-6.585077599999995 42.59328738869093),30.0,https://simplemaps.com,ESLE,León
ES8-400,400,f,Substation,f,ES8,-5.9334081999999935,43.36021838933976,ES,POINT (-5.9334081999999935 43.36021838933976),43.0,https://simplemaps.com,ESO,Asturias
ES80-220,220,f,Substation,f,ES80,-6.5850039999999925,42.55999478866221,ES,POINT (-6.5850039999999925 42.55999478866221),30.0,https://simplemaps.com,ESLE,León
ES81-220,220,f,Substation,f,ES81,-6.5633121,42.55876028866114,ES,POINT (-6.5633121 42.55876028866114),30.0,https://simplemaps.com,ESLE,León
ES82-220,220,f,Substation,f,ES82,-8.250502400000002,42.55526048865811,ES,POINT (-8.250502400000002 42.55526048865811),27.0,https://simplemaps.com,ESPO,Pontevedra
ES83-400,400,f,Substation,f,ES83,0.9917968000000128,42.50656498861596,ES,POINT (0.9917968000000127 42.506564988615956),11.0,https://simplemaps.com,ESL,Lérida
ES84-220,220,f,Substation,f,ES84,-8.322666099999982,42.491165888602616,ES,POINT (-8.322666099999982 42.491165888602616),25.0,https://simplemaps.com,ESOR,Orense
ES85-220,220,f,Substation,f,ES85,-6.334817405198272,42.49102140561187,ES,POINT (-6.3348174051982715 42.49102140561187),30.0,https://simplemaps.com,ESLE,León
ES86-220,220,f,Substation,f,ES86,-7.7268281,42.46827588858281,ES,POINT (-7.7268281000000005 42.46827588858281),29.0,https://simplemaps.com,ESLU,Lugo
ES87-220,220,f,Substation,f,ES87,-2.438667400000006,42.42206768854263,ES,POINT (-2.438667400000006 42.422067688542626),7.0,https://simplemaps.com,ESLO,La Rioja
ES88-220,220,f,Substation,f,ES88,-7.653428649182073,42.41415721181797,ES,POINT (-7.653428649182073 42.41415721181797),25.0,https://simplemaps.com,ESOR,Orense
ES89-220,220,f,Substation,f,ES89,-3.763090649987141,42.409995488561705,ES,POINT (-3.763090649987141 42.409995488561705),10.0,https://simplemaps.com,ESBU,Burgos
ES9-400,400,f,Substation,f,ES9,-3.075864,43.344698989326815,ES,POINT (-3.0758639999999997 43.344698989326815),5.0,https://simplemaps.com,ESBI,Bizkaia
ES90-220,220,f,Substation,f,ES90,-8.580667800000002,42.39055928851523,ES,POINT (-8.580667800000002 42.39055928851523),27.0,https://simplemaps.com,ESPO,Pontevedra
ES92-220,220,f,Substation,f,ES92,-7.981656499999986,42.38112278850699,ES,POINT (-7.981656499999986 42.38112278850699),25.0,https://simplemaps.com,ESOR,Orense
ES93-220,220,f,Substation,f,ES93,-7.630977899999986,42.378800188504975,ES,POINT (-7.630977899999986 42.378800188504975),25.0,https://simplemaps.com,ESOR,Orense
ES94-220,220,f,Substation,f,ES94,-2.2634014999999934,42.36540728849328,ES,POINT (-2.2634014999999934 42.36540728849328),7.0,https://simplemaps.com,ESLO,La Rioja
ES95-220,220,f,Substation,f,ES95,-7.943280200000002,42.35919918848786,ES,POINT (-7.943280200000002 42.359199188487864),25.0,https://simplemaps.com,ESOR,Orense
ES96-220,220,f,Substation,f,ES96,-7.635815199999997,42.357951188486815,ES,POINT (-7.635815199999997 42.357951188486815),25.0,https://simplemaps.com,ESOR,Orense
ES97-400,400,f,Substation,f,ES97,-3.851564999999989,42.33896608847028,ES,POINT (-3.8515649999999884 42.33896608847028),10.0,https://simplemaps.com,ESBU,Burgos
ES98-220,220,f,Substation,f,ES98,-7.206646499999992,42.33063658846294,ES,POINT (-7.206646499999992 42.33063658846294),25.0,https://simplemaps.com,ESOR,Orense
ES99-220,220,f,Substation,f,ES99,-7.040203688084912,42.32918490395503,ES,POINT (-7.040203688084912 42.32918490395503),25.0,https://simplemaps.com,ESOR,Orense
relation/10295969-400,400,f,Substation,f,relation/10295969,1.9350980611679856,41.766918473530176,ES,POINT (1.9350980611679856 41.766918473530176),15.0,https://simplemaps.com,ESB,Barcelona
relation/15715982-220,220,f,Substation,f,relation/15715982,-6.806590620071991,41.043907499116045,ES,POINT (-6.806590620071991 41.043907499116045),31.0,https://simplemaps.com,ESSA,Salamanca
relation/15715982-400,400,f,Substation,f,relation/15715982,-6.80639509948461,41.04413637949732,ES,POINT (-6.80639509948461 41.04413637949732),31.0,https://simplemaps.com,ESSA,Salamanca
relation/16809528-220,220,f,Substation,f,relation/16809528,1.9023120871640125,41.35531289529733,ES,POINT (1.9023120871640125 41.355312895297324),15.0,https://simplemaps.com,ESB,Barcelona
relation/16809528-400,400,f,Substation,f,relation/16809528,1.902538523369514,41.35552394852494,ES,POINT (1.902538523369514 41.35552394852494),15.0,https://simplemaps.com,ESB,Barcelona
relation/17148268-220,220,f,Substation,f,relation/17148268,-5.693215465108723,39.80717719017954,ES,POINT (-5.693215465108723 39.807177190179544),17.0,https://simplemaps.com,ESCC,Cáceres
relation/17148268-400,400,f,Substation,f,relation/17148268,-5.6930190408472,39.80740414566639,ES,POINT (-5.6930190408472 39.80740414566639),17.0,https://simplemaps.com,ESCC,Cáceres
relation/17294958-220,220,f,Substation,f,relation/17294958,-6.473175769058163,41.30116198187096,ES,POINT (-6.473175769058163 41.301161981870955),31.0,https://simplemaps.com,ESSA,Salamanca
relation/17294958-400,400,f,Substation,f,relation/17294958,-6.472978430777835,41.30139020647547,ES,POINT (-6.472978430777835 41.30139020647547),31.0,https://simplemaps.com,ESSA,Salamanca
relation/17319555-220,220,f,Substation,f,relation/17319555,-0.4573636974608344,39.149488632763536,ES,POINT (-0.4573636974608344 39.149488632763536),35.0,https://simplemaps.com,ESV,Valencia
relation/17444204-400,400,f,Substation,f,relation/17444204,-3.859319270709052,42.5907148905795,ES,POINT (-3.859319270709052 42.5907148905795),10.0,https://simplemaps.com,ESBU,Burgos
relation/17678185-220,220,f,Substation,f,relation/17678185,0.7384739252139192,42.403652253730925,ES,POINT (0.7384739252139192 42.403652253730925),4.0,https://simplemaps.com,ESHU,Huesca
relation/17805735-220,220,f,Substation,f,relation/17805735,-4.499409780146651,41.99894734561119,ES,POINT (-4.499409780146651 41.99894734561119),45.0,https://simplemaps.com,ESP,Palencia
relation/6329325-220,220,f,Substation,f,relation/6329325,-0.6140791270601252,41.97631912691538,ES,POINT (-0.6140791270601252 41.97631912691538),4.0,https://simplemaps.com,ESHU,Huesca
way/1002151700-220,220,f,Substation,f,way/1002151700,-5.989716466716948,36.29792819593986,ES,POINT (-5.989716466716948 36.29792819593986),23.0,https://simplemaps.com,ESCA,Cádiz
way/101078312-220,220,f,Substation,f,way/101078312,-7.062903063646672,42.1535157559991,ES,POINT (-7.062903063646672 42.1535157559991),25.0,https://simplemaps.com,ESOR,Orense
way/101953901-220,220,f,Substation,f,way/101953901,-3.723263811231257,40.6005015371676,ES,POINT (-3.723263811231257 40.600501537167595),50.0,https://simplemaps.com,ESM,Madrid
way/101953901-400,400,f,Substation,f,way/101953901,-3.723058661097693,40.600724539057175,ES,POINT (-3.723058661097693 40.600724539057175),50.0,https://simplemaps.com,ESM,Madrid
way/1020710695-220,220,f,Substation,f,way/1020710695,-5.019845916949375,41.6047584203311,ES,POINT (-5.019845916949375 41.6047584203311),33.0,https://simplemaps.com,ESVA,Valladolid
way/1027078325-220,220,f,Substation,f,way/1027078325,-0.8823492965798048,41.282633352452784,ES,POINT (-0.8823492965798048 41.282633352452784),6.0,https://simplemaps.com,ESZ,Zaragoza
way/1027086226-220,220,f,Substation,f,way/1027086226,-1.0374009505702575,41.22174339038703,ES,POINT (-1.0374009505702575 41.221743390387026),6.0,https://simplemaps.com,ESZ,Zaragoza
way/1027086227-220,220,f,Substation,f,way/1027086227,-0.927490348150102,41.18508163951708,ES,POINT (-0.9274903481501021 41.18508163951708),6.0,https://simplemaps.com,ESZ,Zaragoza
way/1028926498-220,220,f,Substation,f,way/1028926498,-0.8410535233225424,41.03264878233959,ES,POINT (-0.8410535233225424 41.032648782339585),13.0,https://simplemaps.com,ESTE,Teruel
way/1028926498-400,400,f,Substation,f,way/1028926498,-0.8408373305857694,41.032865818159294,ES,POINT (-0.8408373305857694 41.032865818159294),13.0,https://simplemaps.com,ESTE,Teruel
way/103158873-220,220,f,Substation,f,way/103158873,-7.281399425499746,42.34425739195922,ES,POINT (-7.281399425499746 42.34425739195922),25.0,https://simplemaps.com,ESOR,Orense
way/103158873-400,400,f,Substation,f,way/103158873,-7.28120241786501,42.34448699728873,ES,POINT (-7.28120241786501 42.34448699728873),25.0,https://simplemaps.com,ESOR,Orense
way/1031589976-220,220,f,Substation,f,way/1031589976,-0.9294965005275646,42.02809279352614,ES,POINT (-0.9294965005275646 42.02809279352614),6.0,https://simplemaps.com,ESZ,Zaragoza
way/103190094-220,220,f,Substation,f,way/103190094,-1.7101766876664677,42.81904570947863,ES,POINT (-1.7101766876664677 42.81904570947863),2.0,https://simplemaps.com,ESNA,Navarra
way/1032009185-220,220,f,Substation,f,way/1032009185,-4.954823349946854,37.01025064213536,ES,POINT (-4.954823349946854 37.010250642135354),24.0,https://simplemaps.com,ESMA,Málaga
way/1032009205-400,400,f,Substation,f,way/1032009205,-5.666974993791579,39.56438441811665,ES,POINT (-5.666974993791579 39.56438441811665),17.0,https://simplemaps.com,ESCC,Cáceres
