bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry
way/170510440-220,220,f,Substation,f,way/170510440,-4.911379193211559,41.3270417134229,ES,POINT (-4.911379193211559 41.3270417134229)
way/170511092-220,220,f,Substation,f,way/170511092,-5.013319801044355,41.506690035538426,ES,POINT (-5.013319801044355 41.506690035538426)
way/170511092-400,400,f,Substation,f,way/170511092,-5.013116734526011,41.50691545146927,ES,POINT (-5.013116734526011 41.50691545146927)
way/170519401-220,220,f,Substation,f,way/170519401,-5.735641321731672,41.53572200176384,ES,POINT (-5.735641321731672 41.535722001763844)
way/170607798-220,220,f,Substation,f,way/170607798,-3.820340205106158,40.13208812401591,ES,POINT (-3.820340205106158 40.13208812401591)
way/170607800-220,220,f,Substation,f,way/170607800,-3.837916055707942,39.9807020222114,ES,POINT (-3.837916055707942 39.9807020222114)
way/170671537-220,220,f,Substation,f,way/170671537,-3.857967177293975,39.94199658124937,ES,POINT (-3.857967177293975 39.94199658124937)
way/170779407-220,220,f,Substation,f,way/170779407,-3.5808089234445983,39.48433899675046,ES,POINT (-3.5808089234445983 39.48433899675046)
way/170779408-220,220,f,Substation,f,way/170779408,-3.3750061437852388,39.02083566039225,ES,POINT (-3.3750061437852388 39.02083566039225)
way/170946426-220,220,f,Substation,f,way/170946426,-3.7262164283496886,37.26773000941097,ES,POINT (-3.7262164283496886 37.26773000941097)
way/170946426-400,400,f,Substation,f,way/170946426,-3.726019527774908,37.26795357479999,ES,POINT (-3.726019527774908 37.26795357479999)
way/170954487-400,400,f,Substation,f,way/170954487,-4.494324414283828,37.45710325842904,ES,POINT (-4.494324414283828 37.457103258429036)
way/170968145-220,220,f,Substation,f,way/170968145,-4.605213573543524,36.75077703144254,ES,POINT (-4.605213573543524 36.75077703144254)
way/170968145-400,400,f,Substation,f,way/170968145,-4.605020545844632,36.751002428537234,ES,POINT (-4.605020545844632 36.751002428537234)
way/170968150-220,220,f,Substation,f,way/170968150,-4.472683413764216,36.72874722200457,ES,POINT (-4.472683413764216 36.72874722200457)
way/171071300-220,220,f,Substation,f,way/171071300,-3.6971827772852577,37.225145631856414,ES,POINT (-3.6971827772852577 37.225145631856414)
way/171106850-220,220,f,Substation,f,way/171106850,-4.574984832142732,36.6558090231896,ES,POINT (-4.574984832142732 36.6558090231896)
way/171113534-220,220,f,Substation,f,way/171113534,-4.859519205301937,36.5230653070911,ES,POINT (-4.859519205301937 36.5230653070911)
way/171251565-400,400,f,Substation,f,way/171251565,-0.9461439198346144,38.14724715069787,ES,POINT (-0.9461439198346145 38.14724715069787)
way/171256169-220,220,f,Substation,f,way/171256169,-0.7227373518899051,38.71888223538655,ES,POINT (-0.7227373518899051 38.718882235386545)
way/171256169-400,400,f,Substation,f,way/171256169,-0.7225273958372208,38.71909938712275,ES,POINT (-0.7225273958372208 38.71909938712275)
way/171274139-220,220,f,Substation,f,way/171274139,-0.6202873104394826,38.2993021593751,ES,POINT (-0.6202873104394826 38.2993021593751)
way/171277174-220,220,f,Substation,f,way/171277174,-0.6361633003717889,38.26454774241587,ES,POINT (-0.6361633003717889 38.26454774241587)
way/171277691-220,220,f,Substation,f,way/171277691,-0.7367993073262712,38.05627586896748,ES,POINT (-0.7367993073262712 38.056275868967475)
way/171419971-220,220,f,Substation,f,way/171419971,-0.4773231728444504,38.49206266668212,ES,POINT (-0.4773231728444504 38.49206266668212)
way/171419975-220,220,f,Substation,f,way/171419975,-0.4205243386599051,38.42449403166281,ES,POINT (-0.4205243386599051 38.42449403166281)
way/171433651-220,220,f,Substation,f,way/171433651,-0.5211827750117713,39.06128226317741,ES,POINT (-0.5211827750117713 39.06128226317741)
way/171442816-220,220,f,Substation,f,way/171442816,-0.4452373264164448,39.39768932857202,ES,POINT (-0.4452373264164449 39.39768932857202)
way/171537720-220,220,f,Substation,f,way/171537720,-0.5192782530325621,38.32872848831992,ES,POINT (-0.5192782530325621 38.32872848831992)
way/171549323-220,220,f,Substation,f,way/171549323,-0.7821313824340979,38.43891498996917,ES,POINT (-0.7821313824340979 38.43891498996917)
way/171556372-220,220,f,Substation,f,way/171556372,-0.4144029939960087,39.1329942601329,ES,POINT (-0.4144029939960087 39.132994260132904)
way/171557472-220,220,f,Substation,f,way/171557472,-3.801222116239234,37.79913654640442,ES,POINT (-3.801222116239234 37.79913654640442)
way/171558297-220,220,f,Substation,f,way/171558297,-3.872243728407717,39.34069241077961,ES,POINT (-3.8722437284077174 39.34069241077961)
way/171560231-220,220,f,Substation,f,way/171560231,-4.092817528583746,39.266891237780506,ES,POINT (-4.092817528583746 39.266891237780506)
way/171560239-220,220,f,Substation,f,way/171560239,-4.107882599863508,39.020891549432,ES,POINT (-4.107882599863508 39.020891549432)
way/172454609-220,220,f,Substation,f,way/172454609,-8.501105281712864,43.32920704693369,ES,POINT (-8.501105281712864 43.32920704693369)
way/172872714-220,220,f,Substation,f,way/172872714,-1.1867679812688827,41.74860859253573,ES,POINT (-1.1867679812688827 41.748608592535724)
way/173190939-220,220,f,Substation,f,way/173190939,-8.43949095524388,43.17017464264176,ES,POINT (-8.43949095524388 43.170174642641754)
way/173191596-220,220,f,Substation,f,way/173191596,-8.40950063176297,43.16909067356774,ES,POINT (-8.40950063176297 43.16909067356774)
way/178294745-220,220,f,Substation,f,way/178294745,2.282163272325909,41.95694797286944,ES,POINT (2.282163272325909 41.95694797286944)
way/178294745-400,400,f,Substation,f,way/178294745,2.2823930258085707,41.95715809605537,ES,POINT (2.2823930258085707 41.95715809605537)
way/179492338-220,220,f,Substation,f,way/179492338,0.8280047592886169,41.5306409965751,ES,POINT (0.8280047592886169 41.5306409965751)
way/180545587-220,220,f,Substation,f,way/180545587,2.079579437578167,41.39241736669639,ES,POINT (2.079579437578167 41.39241736669639)
way/181621073-220,220,f,Substation,f,way/181621073,-2.921504448316925,42.69576778447118,ES,POINT (-2.9215044483169255 42.69576778447118)
way/181651949-220,220,f,Substation,f,way/181651949,-2.756564633188235,39.98460096878362,ES,POINT (-2.756564633188235 39.984600968783624)
