Códigos de Modelos de Registradores,,,,
LANDIS & GYR,,,,
Código,Modelo,Firma electrónica,Gps,Profundidad
"EKM647Ma2e
LAN1
LAN2
LAN20
LAN21
LAN22
LAN23
LAN24
LAN25
LAN26
LAN27
LAN28
LAN29
LAN3
LAN30
LAN31
LAN32
LAN4
LAN5
LAN50","EKM647Ma2e
RMC
RMCS
ZMG310CTSRE
ZMG410CTSRE
ZMG405CTSRE
ZMG405CTSAT
ZMG410CTSAT
ZMG410CTSBT
ZMG310CTSDC
ZMD402CTSAT
ZMD405CTSAT
ZMD405CTSBT
RMI
ZMD410CT
ZMQ202CTSAT
ZMG405CTSBT
RMT
ZMB410
ZMD310CTSAT","S
S
S
S
S
S
S
S
S
S
S
S
S
S
S
S
S
S
S
S","N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N","4000
4000
4000
4000
4000
4000
4000
4000
4000
4000
4000
4000
4000
4000
4000
4000
4000
4000
0
4000"
ORBIS,,,,
Código,Modelo,Firma electrónica,Gps,Profundidad
"ORB1
ORB2","R4HCCL05T3
R4HCCL10T3","S
S","N
N","4000
4000"
SACI,,,,
Código,Modelo,Firma electrónica,Gps,Profundidad
SAC1,CTMR TIPO4,S,N,1600
,,,,
27 agosto 2025 3 de 4,,,,
