Códigos de Modelos de Registradores,,,,
INDRA,,,,
Código,Modelo,Firma electrónica,Gps,Profundidad
IND1,ER1905,S,N,0
ISKRA-METREGA,,,,
Código,Modelo,Firma electrónica,Gps,Profundidad
ISK2,MT830,N,N,4000
ISOLUX WAT S.A.,,,,
Código,Modelo,Firma electrónica,Gps,Profundidad
ISO1,ISOREM 2000,S,N,4000
ITRON,,,,
Código,Modelo,Firma electrónica,Gps,Profundidad
"ITR1
ITR10
ITR11
ITR12
ITR13
ITR2
ITR3
ITR4
ITR5
ITR6
ITR7
ITR8
ITR9","SL762A
SL760-2C
SL760-2D
SL760-2E
ACE662
SL762B
SL762C
SL762D
SL7000
ACE6000
ACE8000
SL760-2A
SL760-2B","S
S
S
S
S
S
S
S
S
S
S
S
S","N
N
N
N
N
N
N
N
N
N
N
N
N","4000
4000
4000
4000
4000
4000
4000
4000
4000
4000
4000
4000
4000"
,,,,
27 agosto 2025 2 de 4,,,,
