Códigos de Modelos de Transformadores,,,
ARTECHE,,,
Código,Modelo,Tipo,Tecnología
"TART111
TART43
TART103
TART90
TART84
TART85
TART26
TART101
TART44
TART102
TART45
TART46
TART47
TART48
TART49
TART50
TART51
TART27
TART91","UXS-72
UZB-17
UZB-24
UZK-11
UZK-24
UZK-36
VCH-12
VCH-24
VCK-12
VCL-24
VCM-12
VCN-24
VE-12
VH-10
VH-15
VH-16
VHR-15
VTE-145
WD-245","Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión
Tensión","Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Capacitivo
Capacitivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Capacitivo
Inductivo"
BALTEAU,,,
Código,Modelo,Tipo,Tecnología
TBAL1,CCV-245,Tensión,Capacitivo
BK,,,
Código,Modelo,Tipo,Tecnología
TBK1,TVTAR-150,Tensión,Capacitivo
,,,
27 agosto 2025 7 de 20,,,
