Códigos de Modelos de Registradores,,,,
ACTARIS CONT. S.A.,,,,
Código,Modelo,Firma electrónica,Gps,Profundidad
"ACT1
ACT10
ACT11
ACT12
ACT2
ACT3
ACT4
ACT5
ACT6
ACT7
ACT8
ACT9","SL762A
SL760-2C
SL760-2D
SL760-2E
SL762B
SL762C
SL762D
SL7000
ACE6000
ACE8000
SL760-2A
SL760-2B","S
S
S
S
S
S
S
S
S
S
S
S","N
N
N
N
N
N
N
N
N
N
N
N","4000
4000
4000
4000
4000
4000
4000
4000
4000
4000
4000
4000"
AMPER,,,,
Código,Modelo,Firma electrónica,Gps,Profundidad
AMP1,RLMIA-100B,S,S,4000
CIRCUTOR,,,,
Código,Modelo,Firma electrónica,Gps,Profundidad
"CIC1
CIC2
CIC3","CIRWATT 402
CIRWATT 405
CIRWATT 410","S
S
S","N
N
N","4000
4000
4000"
"ELIOP, S.A.",,,,
Código,Modelo,Firma electrónica,Gps,Profundidad
"ELI1
FRX1
FRX2
FRX3
FRX4
FRX5","ELICONTAX C25
FRONTAX CRR1
FRONTAX CRR4
FRONTAX RTS1
FRONTAX RTS4
FRONTAXCRS1","S
S
S
S
S
S","N
S
N
N
N
N","5000
5000
5000
4000
4000
4000"
,,,,
27 agosto 2025 1 de 4,,,,
