Códigos de Modelos de Transformadores,,,
HENTGES,,,
Código,Modelo,Tipo,Tecnología
IHEN01,TCR300G90,Intensidad,Inductivo
HYUNDAI,,,
Código,Modelo,Tipo,Tecnología
IHYN,TMB-55,Intensidad,Inductivo
IKB,,,
Código,Modelo,Tipo,Tecnología
"IIKB1
TIKB1","TAP-15
TV-20","Intensidad
Tensión","Inductivo
Inductivo"
ISODEL SPRECHER,,,
Código,Modelo,Tipo,Tecnología
"IISO1
IISO4
IISO5
IISO7
IISO2
IISO6
IISO3","HPE-311
IH112
IH116
MTR6
WIF-114
WIF-214
WIF-216","Intensidad
Intensidad
Intensidad
Intensidad
Intensidad
Intensidad
Intensidad","Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo"
KONCAR,,,
Código,Modelo,Tipo,Tecnología
"IKON03
IKON04
IKON05
IKON06
IKON02
IKON01
VKON02
VKON03
VKON04
VKON05
VKON01","AGU123
AGU170
AGU245
AGU420
AGU72.5
ST-1500
VPU123
VPU170
VPU245
VPU420
VPU72.5","Intensidad
Intensidad
Intensidad
Intensidad
Intensidad
Intensidad
Tensión
Tensión
Tensión
Tensión
Tensión","Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo
Inductivo"
,,,
27 agosto 2025 11 de 20,,,
