id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
15178,Las Jaras Solar Farm,Solar,PV,PP,Spain,59.0,,2023.0,,,38.719,-6.8169,,0.0,0.0,0.0,{nan},{'GEM': {'G100000827867'}}
15179,Las Llanas De Codes Wind Farm,Wind,Onshore,PP,Spain,83.0,,2005.0,,,42.5901,-2.3401,,0.0,0.0,0.0,"{nan, nan}","{'GEM': {'G100000916932', 'G100000918520'}}"
15180,Las Llanas De Codes Wind Farm,Wind,Onshore,PP,Spain,43.0,,2005.0,,,42.6087,-2.4218,,0.0,0.0,0.0,{nan},{'GEM': {'G100000917885'}}
15181,Las Lomas Uniwindet Wind Farm,Wind,Onshore,PP,Spain,15.0,,,,,36.9099,-3.5178,,0.0,0.0,0.0,{nan},{'GEM': {'G100000913127'}}
15182,Las Lomillas Wind Farm,Wind,Onshore,PP,Spain,29.0,,,,,37.1812,-2.78485,,0.0,0.0,0.0,"{nan, nan}","{'GEM': {'G100000911768', 'G100000913760'}}"
15183,Las Majas Wind Farm,Wind,Onshore,PP,Spain,114.0,,2020.0,,,41.277,-0.9001,,0.0,0.0,0.0,{nan},{'GEM': {'G100000919491'}}
15184,Las Majas Wind Farm,Wind,Onshore,PP,Spain,134.0,,,,,41.2795,-0.95,,0.0,0.0,0.0,"{nan, nan, nan, nan}","{'GEM': {'G100000916934', 'G100000917455', 'G100000916933', 'G100000916552'}}"
15185,Las Majas Wind Farm,Wind,Onshore,PP,Spain,217.0,,2021.0,,,41.194,-1.047,,0.0,0.0,0.0,{nan},{'GEM': {'G100000919770'}}
15186,Las Mazorras Wind Farm,Wind,Onshore,PP,Spain,22.0,,,,,42.8318,-3.5416,,0.0,0.0,0.0,{nan},{'GEM': {'G100000915144'}}
15187,Las Monjas Wind Farm,Wind,Onshore,PP,Spain,48.0,,2007.0,,,36.499,-5.90335,,0.0,0.0,0.0,"{nan, nan}","{'GEM': {'G100000915145', 'G100000915955'}}"
15188,Las Naranjillas Solar Farm,Solar,PV,PP,Spain,50.0,,2021.0,,,37.425,-5.793,,0.0,0.0,0.0,{nan},{'GEM': {'G100000806732'}}
15189,Las Panaderas Wind Farm,Wind,Onshore,PP,Spain,84.0,,2007.0,,,41.7717,-5.04025,,0.0,0.0,0.0,"{nan, nan}","{'GEM': {'G100000918006', 'G100000917547'}}"
15190,Las Quinientas Solar Farm,Solar,PV,PP,Spain,110.0,,2021.0,,,36.6123,-6.1122,,0.0,0.0,0.0,{nan},{'GEM': {'G100000827870'}}
15191,Las Traperas Wind Farm,Wind,Onshore,PP,Spain,10.0,,,,,41.6521,-4.7286,,0.0,0.0,0.0,{nan},{'GEM': {'G100000910645'}}
15192,Las Tres Villas Wind Farm,Wind,Onshore,PP,Spain,50.0,,,,,37.1652,-2.7197,,0.0,0.0,0.0,{nan},{'GEM': {'G100000918524'}}
15193,Las Vaguadas Solar Farm,Solar,PV,PP,Spain,10.0,,2023.0,,,38.8541,-6.9609,,0.0,0.0,0.0,{nan},{'GEM': {'G100000827871'}}
15194,Las Zorerras Wind Farm,Wind,Onshore,PP,Spain,20.0,,,,,36.1354,-5.8153,,0.0,0.0,0.0,{nan},{'GEM': {'G100000914611'}}
15195,Lasesa Solar,Solar,PV,PP,Spain,9.0,,2010.0,,,41.856,-0.061,,0.0,0.0,0.0,{nan},{'GEM': {'G100001010556'}}
15304,Lebrija Csp Solar Farm,Solar,CSP,PP,Spain,50.0,,2011.0,,,37.0058,-6.049,,0.0,0.0,0.0,{nan},{'GEM': {'G100000827872'}}
15308,Lecrin Wind Farm,Wind,Onshore,PP,Spain,11.0,,,,,36.9595,-3.5623,,0.0,0.0,0.0,{nan},{'GEM': {'G100000911163'}}
15325,Leitza Beruete Wind Farm,Wind,Onshore,PP,Spain,19.0,,1996.0,,,43.0677,-1.8603,,0.0,0.0,0.0,{nan},{'GEM': {'G100000914349'}}
15340,Leoz Wind Farm,Wind,Onshore,PP,Spain,25.0,,1997.0,,,42.5475,-1.5842,,0.0,0.0,0.0,{nan},{'GEM': {'G100000915773'}}
15347,Lerga Wind Farm,Wind,Onshore,PP,Spain,25.0,,1997.0,,,42.5795,-1.5191,,0.0,0.0,0.0,{nan},{'GEM': {'G100000915774'}}
15399,Les Rotes Wind Farm,Wind,Onshore,PP,Spain,44.0,,2012.0,,,41.3571,0.6047,,0.0,0.0,0.0,{nan},{'GEM': {'G100000917933'}}
15415,Leste Wind Farm,Wind,Onshore,PP,Spain,36.0,,2003.0,,,43.5498,-7.56025,,0.0,0.0,0.0,"{nan, nan}","{'GEM': {'G100000915173', 'G100000912731'}}"
15482,Linares Solar,Solar,PV,PP,Spain,5.4,,,,,38.0917,-3.7056,,0.0,0.0,0.0,{nan},{'GEM': {'G100001011124'}}
15493,Linte Wind Farm,Wind,Onshore,PP,Spain,23.0,,,,,42.4958,-1.8313,,0.0,0.0,0.0,{nan},{'GEM': {'G100001000638'}}
15496,Lirios Solar Farm,Solar,PV,PP,Spain,87.1,,2025.0,,,37.3671,-6.3876,,0.0,0.0,0.0,{nan},{'GEM': {'G100001005283'}}
15527,Llanos De Caudillo Solar,Solar,PV,PP,Spain,6.0,,2009.0,,,39.106,-3.306,,0.0,0.0,0.0,{nan},{'GEM': {'G100001010526'}}
15528,Llanos De Olivenza Solar,Solar,PV,PP,Spain,18.4,,,,,38.7073,-7.131433333333334,,0.0,0.0,0.0,"{nan, nan, nan}","{'GEM': {'G100001011392', 'G100001011431', 'G100001010805'}}"
15529,Llanos De Olivenza Solar,Solar,PV,PP,Spain,2.4,,,,,38.7054,-7.2125,,0.0,0.0,0.0,{nan},{'GEM': {'G100001010922'}}
15530,Llanos De Olivenza Solar,Solar,PV,PP,Spain,7.5,,,,,38.5239,-6.86845,,0.0,0.0,0.0,"{nan, nan}","{'GEM': {'G100001011926', 'G100001011478'}}"
15531,Llanos De Olivenza Solar,Solar,PV,PP,Spain,11.1,,,,,38.4847,-7.0344,,0.0,0.0,0.0,{nan},{'GEM': {'G100001011474'}}
15532,Llanos De Olivenza Solar,Solar,PV,PP,Spain,3.0,,,,,38.6057,-6.8116,,0.0,0.0,0.0,{nan},{'GEM': {'G100001011480'}}
15533,Llanos De Olivenza Solar,Solar,PV,PP,Spain,7.0,,,,,38.7014,-7.0772,,0.0,0.0,0.0,{nan},{'GEM': {'G100001011837'}}
15534,Llanos De San Martin Wind Farm,Wind,Onshore,PP,Spain,18.0,,2006.0,,,42.4538,-3.4132,,0.0,0.0,0.0,{nan},{'GEM': {'G100000914086'}}
15535,Llanos Del Espino Wind Farm,Wind,Onshore,PP,Spain,38.0,,2008.0,,,36.9835,-4.9203,,0.0,0.0,0.0,{nan},{'GEM': {'G100000917457'}}
15537,Lleida Segria Solar,Solar,PV,PP,Spain,2.0,,,,,41.6354,0.6179,,0.0,0.0,0.0,{nan},{'GEM': {'G100001011697'}}
15538,Llerena Solar,Solar,PV,PP,Spain,4.8,,2008.0,,,38.241,-5.9592,,0.0,0.0,0.0,{nan},{'GEM': {'G100001010493'}}
15539,Llevant Solar,Solar,PV,PP,Spain,5.3,,,,,39.5908,3.3638000000000003,,0.0,0.0,0.0,"{nan, nan}","{'GEM': {'G100001011191', 'G100001011937'}}"
15540,Llevant Solar,Solar,PV,PP,Spain,1.5,,,,,39.5269,3.1854,,0.0,0.0,0.0,{nan},{'GEM': {'G100001011706'}}
15541,Llevant Solar,Solar,PV,PP,Spain,4.6,,,,,39.5515,3.3306,,0.0,0.0,0.0,"{nan, nan}","{'GEM': {'G100001011069', 'G100001010841'}}"
15542,Llevant Solar,Solar,PV,PP,Spain,2.2,,,,,39.6347,3.2037,,0.0,0.0,0.0,{nan},{'GEM': {'G100001010882'}}
15543,Llevant Solar,Solar,PV,PP,Spain,5.9,,,,,39.6716,3.3433,,0.0,0.0,0.0,"{nan, nan}","{'GEM': {'G100001010985', 'G100001011045'}}"
15544,Llevant Solar,Solar,PV,PP,Spain,2.8,,,,,39.6427,3.4005,,0.0,0.0,0.0,{nan},{'GEM': {'G100001011113'}}
15545,Llevant Solar,Solar,PV,PP,Spain,5.4,,,,,39.570166666666665,3.1811333333333334,,0.0,0.0,0.0,"{nan, nan, nan}","{'GEM': {'G100001011707', 'G100001010929', 'G100001011704'}}"
15546,Llevant Solar Xii,Solar,PV,PP,Spain,1.6,,,,,39.6969,3.4209,,0.0,0.0,0.0,{nan},{'GEM': {'G100001011714'}}
15552,Lobosillo Solar,Solar,PV,PP,Spain,12.7,,2007.0,,,37.7336,-1.0596,,0.0,0.0,0.0,{nan},{'GEM': {'G100001010579'}}
15563,Lodoso Wind Farm,Wind,Onshore,PP,Spain,99.5,,2007.0,,,42.4138,-3.85535,,0.0,0.0,0.0,"{nan, nan}","{'GEM': {'G100000918660', 'G100000918531'}}"
15568,Logrosan,Solar,PV,PP,Spain,55.0,,2008.0,,,39.3151,-5.49265,,0.0,0.0,0.0,"{nan, nan}","{'GEM': {'G100001010509', 'G201435'}}"
